# raw folder/library name<TAB>clean display name
# Maintained by tools/apply_name_cleanup.py / tools/update_catalog.py.
# Consumed by build-ds-catalog-html.sh and build-kontakt-catalog-html.sh
# via name_override() so a rebuild keeps these clean names instead of
Shoal Audio - Tongue Drum (1.1)	Shoal Audio - Tongue Drum
Snaps n Claps[DS]	Snaps n Claps
Solitary Choir (DS)	Solitary Choir
Sonus Lucis - Cymbalon [DS]	Sonus Lucis - Cymbalon
Stratmosphere v1.1	Stratmosphere
Studio Doctor_Sweet_pads	Studio Doctor Sweet pads
Summer Challenge '26 DS EH	Summer Challenge '26 EH
Tea from HELL (DS)	Tea from Hell
The Pad - kulek records	The Pad - Kulek Records
The-Claustrophobic-Toy-Piano	The Claustrophobic Toy Piano
The-Viking-Log-Lyre	The Viking Log Lyre
TheDiArchtop	The Di Archtop
ThorsBrother	Thors Brother
Thunder (DS)	Thunder
Tongue_Bottle_Glass	Tongue Bottle Glass
Toy Accordion (DS)	Toy Accordion
Toy Xylophone (DS)	Toy Xylophone
Tribal Percussion (DS)	Tribal Percussion
TripleBox	Triple Box
Tubular-bells_Decent_Sampler	Tubular Bells
Tuned_Gongs	Tuned Gongs
Ukulele of Doom (DS)	Ukulele of Doom
UnknownHomePianoSE	Unknown Home Piano SE
VSSVolcaFluteLoFiSamples	VSS Volca Flute Lo Fi Samples
VT + DS - Interlaced Free Edition	Interlaced Free Edition
Vinyl Player (DS)	Vinyl Player
Violin Experiments v1_2	Violin Experiments 2
Wild Percussion (DS)	Wild Percussion
Wooden Church of St. Nepomucen Free Edition (DS_EXS)	Wooden Church of St. Nepomucen Free Edition
World Percussion 2.0	World Percussion
World's Biggest Braaam (DS)	World's Biggest Braaam
YE_C55	YE C55
Yogurt(DS)	Yogurt
ZauberwindsSoloFloete_v1	Zauberwinds Solo Floete
ampco-v1-dspreset	Ampco
arnBottles	Arn Bottles
arnLofiChorus	Arn Lofi Chorus
cp10-piano	cp10 Piano
curly - electric piano	Curly - Electric Piano
dspreset-Clockworks-V1	Clockworks
elements	Elements
grandmas-beachhouse-piano	Grandmas Beachhouse Piano
healingBOWL	Healing Bowl
lapsteel-articulations	Lapsteel Articulations
luapselREVGUITAR	Luapsel Revguitar
my_cheap_bass	My Cheap Bass
odyssea v3	Odyssea
pop	Pop
prehispanic flute v3	Prehispanic Flute
purplehero	Purplehero
syntheticstrings	Syntheticstrings
the_stranger-ethereal_fountain-v1	The Stranger Ethereal Fountain
wiedergesichts-wurli	Wiedergesichts Wurli
