==================================================================
 Decent Sampler library extraction analysis
 source: /mnt/workspace/Free VST-s/Pianobook/Decent Sampler
 date:   pon 07 sep 2026 16:07:39 CEST
==================================================================

===== 1) archives found =====
  count: 400

===== 1b) already-extracted DS content (dslibrary/folders) =====
    .dspreset files present: 0

===== 2) per-archive: compressed size + TRUE extracted size =====
    ARCHIVE                                              COMPRESSED    EXTRACTED
    curly - electric piano.zip                                  97M         128M  [light]
    Cymbalum_Decent_Sampler-1.0.zip                             38M          44M  [light]
    DacrMicrosynth.zip                                           2M           3M  [light]
    DacrShaker.zip                                               4M           6M  [light]
    Dark Drums (DS).zip                                        516M         698M  [light]
    DBass.zip                                                  352M         405M  [light]
    Dead Line.zip                                              565M         918M  [light]
    Decent_Oboe.zip                                             79M         136M  [light]
    DecenTron 1.0.0.zip                                        511M         543M  [light]
    DecentSampler_CR78.zip                                       2M           3M  [light]
    Delta_v1.zip                                                 5M           6M  [light]
    Destinys Agent - Zitherone [DS].zip                          4M           8M  [light]
    DFAM Hard Sync Bass.zip                                      5M           6M  [light]
    DFAM Moving Back Alarm Lead.zip                              7M           7M  [light]
    Dictaphone Orchestra.zip                                   468M         621M  [light]
    Dima Koltsov - Some Pads and Stuff.zip                      31M          33M  [light]
    Divine Errors Part 1 Demo.zip                              198M         234M  [light]
    DjembeDuet.zip                                              12M          12M  [light]
    Dobro Slide.zip                                             33M          51M  [light]
    DoomsdayDrumsEssentials.zip                                 21M          21M  [light]
    Drone_Organ_v2_(Decent_Sampler).zip                         16M          16M  [light]
    dspreset-Clockworks-V1.zip                                  10M          21M  [light]
    Duduk.zip                                                   20M          20M  [light]
    Dynamic Overtone Guitar.zip                                596M         954M  [light]
    E Bass Studio Stomps DS.zip                                285M         515M  [light]
    EjIm Piano v0.2.1.zip                                       23M          30M  [light]
    Electric Mandolin (DS).zip                                 806M        1189M  [light]
    Electro Acoustic Piano (DS).zip                            301M         365M  [light]
    elements.zip                                                15M          20M  [light]
    Emerald Resonances.zip                                    1496M        1863M  [light]
    Emotionless Kalimba.zip                                     47M          47M  [light]
    Erhu.zip                                                    97M         119M  [light]
    Fable & Clare1.zip                                          38M          66M  [light]
    Fallout_Organ.zip                                         2670M        2722M  [light]
    Familiy Ensemble v1.0.zip                                   92M         301M  [light]
    Felt_&_Fog_Free_Edition.zip                                218M         263M  [light]
    Festive Celeste.zip                                       5460M        7082M  [HEAVY]
    Florence Upright.zip                                        34M          52M  [light]
    FluteOrgan(1.1).zip                                         21M          22M  [light]
    Flutina.zip                                                 70M          72M  [light]
    FM-Little-Module.zip                                       162M         192M  [light]
    Forest (DS).zip                                             69M          72M  [light]
    Forest melodica.zip                                          3M           3M  [light]
    Forgotten Bagpipes.zip                                      29M          48M  [light]
    Fresh GuitarV2.dsbundle.zip                                 45M         123M  [light]
    Fullbore Synth (DS).zip                                      6M          13M  [light]
    G3Grand(DS).zip                                             88M         109M  [light]
    Gaita_Do.zip                                                27M          27M  [light]
    Gankogui_Decent_Sampler-1.0.zip                              7M           8M  [light]
    Garage Sale Kit.zip                                         29M          74M  [light]
    Garland Music Box Marimba (DS).zip                          19M          29M  [light]
    Garv_Babblings_Sampler.zip                                 121M         197M  [light]
    GEM-Jumbo61.zip                                              8M          15M  [light]
    George Yazbek - Daydream.zip                                64M          69M  [light]
    George Yazbek - The Gift.zip                                17M          19M  [light]
    George Yazbek - The yoyo.zip                                14M          24M  [light]
    GjallarHorn.zip                                             84M          93M  [light]
    Glockenglass.zip                                            17M          23M  [light]
    GoodTimes Keyboard.zip                                      22M          25M  [light]
    grandmas-beachhouse-piano.zip                              410M         443M  [light]
    Grandmas Piano.zip                                          35M          48M  [light]
    Grandpas Piano (DS).zip                                    102M         212M  [light]
    Greenwood Drums.zip                                         97M         351M  [light]
    Gretsch Catalina Ash - Decent Sampler.zip                  103M         143M  [light]
    Guitar percussion and noises.rar                            10M          19M  [light]
    Guitar Precussion 1.1.zip                                    2M           3M  [light]
    Gusli Perepyolochka.zip                                     18M          26M  [light]
    Handpan.zip                                                  4M           4M  [light]
    Harmonica Americana.zip                                     37M          40M  [light]
    Harmonica.rar                                               12M          14M  [light]
    harmonic constellations .zip                               229M         256M  [light]
    Harpsimachord.zip                                         1015M        1185M  [light]
    healingBOWL.zip                                             25M          47M  [light]
    Hears The Rubs_V1.1.dslibrary.zip                         1465M        1465M  [light]
    Heaven and Hell 002.zip                                    293M         341M  [light]
    Hellscape Synth.zip                                          5M           5M  [light]
    Helsinkii1967 DecentSampler v.1.411.zip                    838M        1453M  [light]
    Hohner Melodica.zip                                        209M         217M  [light]
    Homemade Ceramic Udo.zip                                     1M           3M  [light]
    Homemade Oscillator and Speaker Circuit.zip                 30M          30M  [light]
    HomePercussions.zip                                         97M         118M  [light]
    Hurdy Gurdy.zip                                              2M           2M  [light]
    IMPACTOS HYBRID PERCUSSION.zip                            2525M        7964M  [HEAVY]
    Inanimate Glitches.zip                                     134M         378M  [light]
    Indonesian Didgeridoo.zip                                   25M          25M  [light]
    IrishTinWhistle.dsbundle.zip                                 1M           1M  [light]
    Italian Typewriter (DS)1.0.zip                              18M          18M  [light]
    Jews Harp.zip                                               30M          58M  [light]
    Jingle Bells Pad.zip                                        34M          34M  [light]
    Jon's Cajons v1.0.zip                                       28M          34M  [light]
    Jouhikko-TheFinnishBowedLyre.zip                             1M           4M  [light]
    Junost 21 _ Soviet Virtual Synth FREE (DS_EXS).zip         127M         267M  [light]
    Jupiter-6 Unison Strings.zip                                49M          50M  [light]
    KALI-2297_V1.0.zip                                          86M          86M  [light]
    Kalimba_by_Lasiurus.zip                                     33M          51M  [light]
    Kalimba Experiments.zip                                     55M          64M  [light]
    Kalimba (G Pygmy).zip                                       28M          39M  [light]
    Kalimba Swarm.zip                                          333M         347M  [light]
    Kantele-TheFinnishZither.zip                                18M          38M  [light]
    Kazoo.zip                                                   38M          76M  [light]
    Kitchen Drum KIt.zip                                        12M          13M  [light]
    Kosmosky Tongue Drum(v1.0).zip                             292M         403M  [light]
    K Percussion.rar                                             2M           3M  [light]
    lapsteel-articulations.zip                                  26M          49M  [light]
    Legacy Knight Piano v1.0.zip                               362M         483M  [light]
    Leolani Ukulele.zip                                         46M         117M  [light]
    Lil Bro's Drum Guitar.zip                                    6M          35M  [light]
    Lite Hammered Dulcimer.zip                                  41M          44M  [light]
    Little Black EP.zip                                         67M          94M  [light]
    Little Grreen Reed Organ.zip                                44M          79M  [light]
    Lofi AI Drum Pi.zip                                          1M          11M  [light]
    Lofi Dreams.rar                                             87M         163M  [light]
    LØ - Fragile Violins Free.zip                             259M         276M  [light]
    Low Whistle.zip                                             91M         184M  [light]
    luapselREVGUITAR.zip                                        31M          46M  [light]
    Lumo - Acoustic Guitars.zip                                169M         169M  [light]
    LWR Swallow Guitar.zip                                      46M         219M  [light]
    Maracas_by_Estudios Ivcame.zip                               1M           1M  [light]
    Massive Pad.zip                                             97M         112M  [light]
    MB Analogue Drums.zip                                       27M          28M  [light]
    Mellora - Soft Bowed Piano (Free Edition) v1.1.zip          12M          12M  [light]
    Melody Maker.zip                                            12M          15M  [light]
    Mexican Guitarron.zip                                        8M          10M  [light]
    MicroGuitar.rar                                              3M           3M  [light]
    Milk Factory - jd cheetham.zip                             197M         218M  [light]
    Mini African Drum.zip                                        2M           4M  [light]
    Mini Drum Lone Singer (DS).zip                              33M          51M  [light]
    Mini Drum Magic Ladder (DS).zip                             37M          45M  [light]
    Mini Kalimba v1.1.zip                                       17M          63M  [light]
    Mixing Bowl DS.zip                                          16M          24M  [light]
    Modern Acoustic Guitar V2.zip                              172M         274M  [light]
    Modular 808.zip                                             66M          66M  [light]
    Mordros Final.zip                                          309M         487M  [light]
    MORE Violin Experiments v1.1.zip                           938M        1009M  [light]
    MorphoLute_by_Magisk.zip                                    54M          64M  [light]
    MS20 Plus.zip                                              243M         269M  [light]
    Mum's Upright.zip                                           93M         133M  [light]
    Murky Roads (DS).zip                                       178M         276M  [light]
    my_cheap_bass.dslibrary.zip                                 85M         186M  [light]
    MyDuduk.zip                                                  7M           8M  [light]
    My New voice.zip                                             1M           1M  [light]
    Nicks-LP-Studio.zip                                        177M         211M  [light]
    Noise Drums.zip                                             38M         132M  [light]
    NT Agnostic Drone.zip                                     1606M        1770M  [light]
    NT Angelic Dramatic v2.zip                                1130M        1213M  [light]
    NT Bionic Brass and Winds.zip                             1398M        1451M  [light]
    NTS-2 An Oscilloscope Turned Synth.zip                     297M         311M  [light]
    NT Subharmonic Memory Unit v1.zip                           34M          45M  [light]
    odyssea v3.zip                                              11M          12M  [light]
    Öld Jokul - Glaciar Pad.zip                              2205M        2373M  [light]
    OMS-1 Gretsch Feedback.zip                                 233M         253M  [light]
    Only drums.zip                                               8M          29M  [light]
    OOTG Piano DS.zip                                          117M         149M  [light]
    Optical Fibre.zip                                           47M          50M  [light]
    Orange Soda Super Flute.zip                                 62M         102M  [light]
    Organ grinder.rar                                            4M           6M  [light]
    Organ of the Damned (DS).zip                              2115M        2412M  [light]
    Organs 11 by DSA.zip                                       326M         326M  [light]
    Orgel Unterhaus 2.1.zip                                     87M         106M  [light]
    Otto.zip                                                     8M           9M  [light]
    Palm Mutes.zip                                              18M          19M  [light]
    PAMAHA.zip                                                 349M         448M  [light]
    Pandrum v1.0.1 - Decent Sampler.zip                        851M         851M  [light]
    Paters Piano.zip                                            63M          98M  [light]
    Paweł Lewicki - Birdy Kalimba (DS).zip                     38M          41M  [light]
    PD_Big_Brother.zip                                         141M         165M  [light]
    PencilGuitar-V2.zip                                          8M          19M  [light]
    Phobos - Canvas [ESSENTIAL EDITION] (0.8.9).zip             17M          21M  [light]
    Piano Percussions_v1.0.zip                                  54M          85M  [light]
    Pipe Drum v2.0 251102.zip                                    1M           6M  [light]
    Plasma Drive Kalimba.zip                                    36M          37M  [light]
    Playwatch.zip                                               49M          59M  [light]
    Polaroid CL635 (DS).zip                                      3M           5M  [light]
    pop.zip                                                     15M          22M  [light]
    prehispanic flute v3.rar                                    26M          53M  [light]
    purplehero.dslibrary.zip                                   127M         188M  [light]
    Rain Choir V1.1 (1).zip                                     11M          11M  [light]
    Rain Choir V1.1.zip                                         11M          11M  [light]
    Raindrops.zip                                               15M          15M  [light]
    Raw Violin.zip                                             204M         272M  [light]
    RedTape Z2.zip                                             508M        1465M  [light]
    Reluctant Autoharp (DS).zip                                201M         232M  [light]
    Resonator.zip                                               34M          44M  [light]
    Reverb Tail Pad.zip                                         63M          66M  [light]
    RGBwaves.zip                                                54M          74M  [light]
    RJS Classic Electric v1_1.zip                              440M         618M  [light]
    RJS LoFi Nylon v1_1.zip                                     73M          90M  [light]
    RJS Vocal Pads v1_1.zip                                     35M          38M  [light]
    Roaring Saxophone (DS).zip                                  63M         133M  [light]
    Rosedale_Cortina_Virtuoso.zip                               27M          40M  [light]
    R.R. Drums1.zip                                              3M           8M  [light]
    Rubber Bass.zip                                             14M          23M  [light]
    Santa Croce.zip                                            104M         135M  [light]
    Schlagwerk_U78_Side_Skin_Udu.zip                            42M          61M  [light]
    Seaside Transistor Organ (DS).zip                           59M          63M  [light]
    Sewers 1.0.2.zip                                           243M         259M  [light]
    s.f-barroca_SE.zip                                           4M           4M  [light]
    Shimmered Affinity Swells.zip                              146M         169M  [light]
    Shoal Audio - SEK-922.zip                                   28M          29M  [light]
    Shoal Audio - Tongue Drum (1.1).zip                        155M         263M  [light]
    Shopping Cart.zip                                           56M          71M  [light]
    Sketchy Klaviphon.zip                                       20M          29M  [light]
    SL-20231105-01 - Singing Bowl.zip                           76M         118M  [light]
    Slit Log Drum.zip                                            3M           3M  [light]
    Snaps n Claps[DS].zip                                        2M           5M  [light]
    Solar Winds.zip                                             19M          22M  [light]
    Solitary Choir (DS).zip                                    321M         358M  [light]
    Sonus Lucis - Cymbalon [DS].zip                             17M          39M  [light]
    SoundsofIran.zip                                            72M          76M  [light]
    Souvenir Tunisian Drum v1.2.zip                              8M          22M  [light]
    Stacked It - E Devey.zip                                    67M         116M  [light]
    Stratford Tony Organ.zip                                   538M         671M  [light]
    Stratmosphere v1.1.zip                                      12M          20M  [light]
    Studio Doctor_Sweet_pads.rar                                10M          15M  [light]
    Summer Challenge '26 DS EH.zip                              18M          24M  [light]
    syntheticstrings.zip                                        97M         108M  [light]
    Synth of Desire.zip                                          6M           9M  [light]
    Synthphony 003.zip                                          16M          18M  [light]
    Synthphony S004 Motion.zip                                  27M          28M  [light]
    Synthphony S005 Complex.zip                                 32M          34M  [light]
    Talman Bass.zip                                             36M          41M  [light]
    Tea from HELL (DS).zip                                       6M           7M  [light]
    Telephone Guitar V1.1.1.zip                                128M         128M  [light]
    Thawney Practice Room Piano.zip                             48M          49M  [light]
    The Bjorgan.zip                                           1094M        1235M  [light]
    The-Claustrophobic-Toy-Piano.zip                            69M         147M  [light]
    TheDiArchtop.zip                                            52M         118M  [light]
    The Forest Flute.dslibrary.zip                              32M          38M  [light]
    The Kickstarter Risk - Hanago.zip                          149M         168M  [light]
    The Pad - kulek records.zip                                240M         289M  [light]
    The Spellsinger.zip                                       1292M        1513M  [light]
    the_stranger-ethereal_fountain-v1.zip                       28M          51M  [light]
